[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba27
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-19

## TCGA_VERSIONED.DNA_METHYLATION_CHR4_HG19_GDC_2017_01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_JHU_PDC_V1_17
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene; includes identifiers from multiple sources (e.g. UniProt, NCBI RefSeq database)
gene_id: TEXT | Unique gene identifier assigned by PDC
uniprotkb_id: TEXT | Oldest UniProt id found in 'proteins' column list, derived programmatically
gene_symbol: TEXT | Gene symbol, sourced by PDC from NCBI
locus: TEXT | Gene cytoband, sourced by PDC from NCBI
authority: TEXT | Designating authority for the gene id
aliquot_id: TEXT | Unique PDC identifier for this aliquot (e.g. e8db124a-693a-11ea-b1fd-0aad30af8a83)
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
organism: TEXT | Gene organism, sourced by PDC from NCBI
NCBI_gene_id: TEXT | NCBI gene identifier
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
aliquot_submitter_id: TEXT | Aliquot submitter id assigned by program (e.g. T14)
chromosome: TEXT | NCBI gene chromosome
authority_gene_id: TEXT | Unique identifier assigned by authority (e.g. HGNC)
uniprotkb_ids: TEXT | Every UniProt id found in 'proteins' column list

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R14
program_name: TEXT | Program name, eg TCGA or TARGET
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
file_size: NUMBER | The size of the file measured in bytes
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
disease_code: TEXT | A code representing the type of cancer. Values can be found at https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/TCGA-study-abbreviations; eg. OV, GBM, LUAD
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
file_name_key: TEXT | GDC path to original bam or vcf file
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba37
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc
type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
platform: TEXT | Platform used to generate data (null, Illumina)
index_file_id: TEXT | BAM  or VCF index file GDC file UUID
index_file_size: NUMBER | When available, the size of the file measured in bytes
index_file_name_key: TEXT | GDC path to original vcf or bam index file
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
access: TEXT | Data accessibility policy (open or controlled)
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM

## TCGA_VERSIONED.MASKED_SOMATIC_MUTATION_HG38_GDC_R35
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
file_gdc_id: TEXT | |-delimited list of unique GDC identifiers for underlying MAF file
gnomAD_non_cancer_SAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer South Asian population
GDC_FILTER: TEXT | GDC filters applied universally across all MAFs
mutect2: TEXT | Mutect2 caller identified the variant at this position
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)
hotspot: BOOLEAN | A flag indicating if the variant is a known hotspot (Y, N, or null)
gnomAD_non_cancer_EAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer East Asian population
HGVSc: TEXT | The coding sequence of the variant in HGVS recommended format
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh38)
APPRIS: TEXT | Annotates alternatively spliced transcripts as primary or alternate based on a range of computational methods
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
DISTANCE: TEXT | Shortest distance from the variant to transcript
varscan2: TEXT | Varscan2 caller identified the variant at this position
PUBMED: TEXT | Pubmed ID(s) of publications that cite existing variant
gnomAD_AMR_AF: FLOAT | Frequency of existing variant in gnomAD exomes American population
TRANSCRIPT_STRAND: TEXT | The DNA strand (1 or -1) on which the transcript/feature lies
MOTIF_NAME: TEXT | The source and identifier of a transcription factor binding profile aligned at this position
sample_barcode_tumor: TEXT | TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
CANONICAL: TEXT | A flag (YES) indicating that the VEP-based canonical transcript, the longest translation, was used for this gene. If not, the value is null
Existing_variation: TEXT | Known identifier of existing variation
gnomAD_non_cancer_FIN_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Finnish population
gnomAD_non_cancer_MAX_AF_POPS_adj: TEXT | Non-cancer gnomAD genomes populations in which the maximum allele frequency was observed after removing those with less than 2 allele counts
Tumor_Aliquot_Barcode: TEXT | Aliquot barcode for the tumor sample
dbSNP_RS: TEXT | The rs-IDs from the   dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
RNA_ref_count: TEXT | Read depth supporting the reference allele at this locus if the variant is supported by tumor RNA-seq data.
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
Match_Norm_Seq_Allele2: TEXT | Matched normal sequencing allele 2
PICK: TEXT | Indicates if this block of consequence data was picked by VEP's   pick feature (1 or null)
HIGH_INF_POS: TEXT | A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (Y, N, or null)
ESP_EA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
Sequencing_Phase: TEXT | TCGA sequencing phase (if applicable). Phase should change under any circumstance that the targets under consideration change
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
pindel: TEXT | pindel caller identified the variant at this position
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
n_ref_count: TEXT | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
Variant_Classification: TEXT | Translational effect of variant allele
IMPACT: TEXT | The impact modifier for the consequence type
HGNC_ID: TEXT | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
CONTEXT: TEXT | The reference allele per VCF specs, and its five flanking base pairs
gnomAD_FIN_AF: FLOAT | Frequency of existing variant in gnomAD exomes Finnish population
BAM_File: TEXT | Not in use
DOMAINS: TEXT | The source and identifier of any overlapping protein domains
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
gnomAD_non_cancer_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes combined non-cancer population
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
UNIPARC: TEXT | UniParc identifier of protein product
Mutation_Status: TEXT | An assessment of the mutation as somatic, germline, LOH, post transcriptional modification, unknown, or none. The values allowed in this field are constrained by the value in the Validation_Status field
Consequence: TEXT | Consequence type of this variant; sequence ontology terms
Validation_Status: TEXT | Second pass results from orthogonal technology
Matched_Norm_Aliquot_Barcode: TEXT | Aliquot barcode for the matched normal sample
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
primary_site: TEXT | Anatomical site of the cancer under investigation or review
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
RNA_alt_count: TEXT | Read depth supporting the variant allele at this locus if the variant is supported by tumor RNA-seq data.
BIOTYPE: TEXT | Biotype of transcript
Feature_type: TEXT | Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (or blank)
